Distance_(pixels),IMG_6561,IMG_6562,IMG_6563,IMG_6564,IMG_6565,IMG_6566,IMG_6567,Average
0,9.12,5.713,0.3133,16.953,6.967,8.92,42.653,12.94847143
1,9.567,5.48,0.3467,16.827,7.68,9.087,42.72,13.1011
2,9.76,5.027,0.4,17.82,7.833,9.7,42.267,13.25814286
3,10.107,4.853,0.3533,19.687,7.487,10.32,42.3,13.58675714
4,10.547,5.26,0.2,21.24,7.32,10.413,42.287,13.89528571
5,10.947,5.573,0.0933,21.6,7.66,9.82,41.827,13.93147143
6,10.733,6.173,0.08,18.7,7.82,9.373,41.327,13.458
7,10.52,6.46,0.1133,15.673,7.493,9.153,41.613,13.00361429
8,10.813,7.873,0.1067,12.713,7.88,9.72,42.553,13.0941
9,11.06,7.86,0.0933,12.62,7.993,9.453,42.827,13.12947143
10,10.82,7.387,0.04,13.453,7.64,8.86,42.973,13.02471429
11,10.62,6.82,0,15.6,7.147,8.747,42.54,13.06771429
12,10.42,5.993,0.02,17.787,6.72,9.053,41.267,13.03714286
13,10.273,5.867,0.0867,18.987,7.013,9.327,41.46,13.28767143
14,9.66,5.673,0.1533,18.547,7.327,9.253,42.313,13.27518571
15,9.247,5.867,0.2,17.94,7.647,9.287,41.38,13.08114286
16,8.88,6.26,0.1267,15.967,7.44,9.753,42.48,12.98667143
17,9.153,6.673,0.08,15.467,7.787,9.5,41.993,12.95042857
18,9.027,7.04,0.0267,14.413,7.78,9.373,41.86,12.78852857
19,8.92,6.86,0.04,13.853,7.6,9.553,41.98,12.68657143
20,9.14,6.547,0.04,14.587,7.42,9.62,41.82,12.73914286
21,8.86,6.533,0.04,16.273,7.313,9.58,41.92,12.93128571
22,8.227,6.893,0.0667,17.507,6.967,9.593,41.96,13.03052857
23,7.873,7.047,0.0667,17.667,6.54,9.867,41.333,12.91338571
24,7.753,6.32,0,17.96,6.313,10.753,41.607,12.958
25,8.16,5.58,0,18.46,6.407,11.12,41.967,13.09914286
26,8.693,4.553,0,17.7,6.32,11.007,41.173,12.778
27,9.92,3.693,0,15.647,6.207,10.12,41.433,12.43142857
28,11.433,4.013,0.0133,13.587,5.947,9.067,41.787,12.2639
29,12.153,4.947,0.0733,13.447,5.553,8.513,41.12,12.25804286
30,11.06,5.347,0.0667,14.267,5.02,8.347,41.18,12.18395714
31,9.607,5.493,0.08,15.58,4.827,8.553,40.9,12.14857143
32,8.173,6.647,0.0667,17.427,5.26,9.947,41.82,12.76295714
33,8.273,6.373,0.0667,18.847,5.427,10.427,41.213,12.94667143
34,8.98,5.867,0.0667,18.953,5.767,10.993,40.853,13.06852857
35,9.513,5.567,0.04,18.567,6.2,11.24,41.027,13.16485714
36,9.433,4.867,0.0267,18.267,6.373,11.293,41.253,13.07324286
37,9.827,4.287,0.0133,17.873,6.253,11.193,40.933,12.91132857
38,9.953,3.667,0.0267,16.633,6.087,11.033,40.527,12.56095714
39,9.24,3.467,0.0667,15.993,5.9,10.76,40.127,12.22195714
40,9.027,3.647,0.1067,15.28,5.367,10.413,40.727,12.0811
41,9.3,3.733,0.1867,15.333,5.393,9.727,40.867,12.0771
42,9.633,3.853,0.2133,14.513,5.493,9.453,41.067,12.03218571
43,9.653,3.76,0.0933,13.547,5.953,9.873,41.053,11.99032857
44,9.687,3.72,0.1867,12.967,6.48,9.92,40.8,11.96581429
45,9.507,3.953,0.2,13.433,6.62,9.907,40.767,12.05528571
46,9.073,4.1,0.1933,13.787,6.213,9.793,40.54,11.95704286
47,8.627,4.233,0.2067,13.913,5.9,10.107,39.953,11.84852857
48,8.48,5.307,0.1467,14.093,5.487,11.033,39.82,12.05238571
49,8.733,4.827,0.1733,14.633,5.14,11.293,40.353,12.16461429
50,8.96,4.673,0.1733,15.367,4.553,11.567,40.713,12.28661429
51,8.913,4.5,0.2067,15.54,4.487,11.413,40.813,12.26752857
52,8.773,4.5,0.2267,14.94,4.627,10.593,40.313,11.9961
53,9.247,4.327,0.2267,15.253,5.1,10.62,40.293,12.15238571
54,9.307,4.107,0.2,16.66,5.147,10.833,40.267,12.36014286
55,8.8,3.953,0.18,17.633,5.033,10.42,40.247,12.32371429
56,8.447,3.54,0.14,18.653,5.127,10.073,39.213,12.17042857
57,7.567,3.467,0.1667,18.613,4.747,10.68,39.633,12.12481429
58,6.993,3.673,0.2067,18.04,4.48,10.773,40.133,12.04267143
59,7.473,4.333,0.2333,17.3,4.54,10.893,39.7,12.06747143
60,7.933,5.06,0.26,16.113,4.853,11.627,39.327,12.16757143
61,7.847,5.487,0.2467,14.853,4.96,12.293,39.953,12.23424286
62,7.593,5.507,0.26,13.213,4.653,11.427,40.2,11.83614286
63,7.92,5.393,0.26,12.26,4.267,10.187,39.06,11.33528571
64,8.593,5.32,0.24,14.093,4.253,9.84,39.38,11.67414286
65,8.76,4.42,0.2267,15.027,4.487,10.167,39.327,11.77352857
66,8.58,4.027,0.26,15.753,5.033,10.127,39.833,11.94471429
67,8.187,3.987,0.2733,15.787,5,10.14,40.04,11.91632857
68,7.973,3.747,0.2333,14.347,5.12,10.967,39.72,11.72961429
69,7.873,3.72,0.1933,13.3,5.833,11.067,39.927,11.7019
70,7.32,3.787,0.14,12.96,6.067,10.707,39.853,11.54771429
71,6.567,3.667,0.14,13.747,5.653,10.933,38.887,11.37057143
72,6.24,4.253,0.2533,13.773,4.967,11.053,39.267,11.4009
73,5.527,4.493,0.2533,13.96,5.487,10.653,39.493,11.40947143
74,4.967,4.927,0.2467,13.72,5.893,10.153,39.793,11.38567143
75,5.773,5.347,0.2067,13.247,6.127,10.373,39.993,11.58095714
