Distance_(pixels),Gray_Value
0,81.093
1,80.813
2,80.920
3,80.900
4,80.513
5,80.253
6,80.113
7,79.293
8,79.620
9,79.840
10,79.473
11,78.793
12,78.773
13,78.973
14,78.973
15,79.133
16,78.627
17,77.687
18,77.367
19,78.193
20,78.093
21,76.987
22,76.433
23,76.773
24,77.287
25,77.067
26,77.147
27,77.200
28,76.633
29,76.573
30,76.400
31,75.967
32,76.713
33,75.527
34,74.387
35,75.947
36,76.707
37,75.487
38,75.187
39,75.567
40,75.233
41,75.793
42,75.847
43,75.367
44,75.167
45,74.927
46,74.653
47,74.380
48,75.500
49,74.187
50,74.420
51,75.000
52,74.200
53,73.727
54,74.053
55,74.113
56,74.033
57,73.527
58,73.447
59,73.947
60,74.020
61,73.860
62,73.073
63,72.380
64,72.687
65,72.720
66,73.887
67,73.867
68,72.820
69,73.500
70,73.873
71,72.393
72,72.593
73,72.933
74,73.313
75,72.613
76,71.600
77,72.060
78,72.733
79,72.073
80,72.333
81,72.367
82,71.707
83,71.667
84,71.713
85,70.867
86,70.587
87,70.827
88,72.160
89,71.173
90,70.280
91,70.300
92,70.733
93,71.033
94,70.993
95,70.840
96,70.200
97,70.693
98,70.793
99,69.987
100,69.893
101,70.933
102,70.967
103,69.593
104,69.747
105,69.667
106,69.167
107,70.007
108,71.087
109,69.747
110,68.353
111,69.633
112,69.953
113,69.420
114,69.320
115,69.120
116,68.687
117,69.247
118,69.900
119,69.447
120,68.553
121,68.173
122,68.127
123,68.140
124,67.867
125,68.433
126,68.680
127,68.100
128,68.227
129,67.693
130,67.260
131,67.313
132,67.913
133,68.787
134,68.700
135,67.673
136,67.913
137,67.247
138,66.620
139,66.873
140,67.433
141,67.933
142,68.000
143,67.047
144,65.860
145,65.640
146,66.193
147,66.673
148,66.647
149,66.647
150,66.673
151,66.413
152,65.927
153,66.687
154,66.967
155,65.233
156,64.067
157,65.980
158,66.707
159,64.720
160,64.087
161,64.300
162,64.447
163,64.827
164,65.340
165,65.060
166,64.287
167,63.907
168,63.980
169,63.393
170,62.767
171,62.933
172,62.760
173,62.280
174,61.720
175,61.507
176,62.333
177,61.933
178,61.980
179,61.600
180,61.133
181,61.873
182,61.993
183,60.813
184,60.473
185,60.673
186,60.120
187,59.640
188,60.133
189,60.873
190,60.247
191,58.860
192,58.713
193,59.380
194,59.747
195,58.593
196,57.353
197,58.213
198,58.980
199,58.367
200,57.800
201,57.927
202,58.427
203,58.533
204,57.860
205,57.547
206,57.740
207,57.713
208,58.380
209,58.113
210,58.013
211,57.440
212,56.653
213,57.153
214,57.373
215,56.393
216,56.013
217,56.453
218,57.320
219,57.347
220,56.553
221,57.247
222,57.047
223,55.680
224,55.060
225,55.940
226,56.413
227,56.300
228,56.193
229,56.693
230,56.167
231,54.667
232,54.313
233,54.753
234,54.373
235,54.273
236,53.760
237,54.007
238,54.660
239,53.880
240,53.133
241,53.473
242,53.287
243,52.533
244,52.220
245,52.667
246,52.947
247,52.740
248,52.633
249,51.327
250,50.333
251,50.073
252,50.413
253,50.867
254,50.567
255,49.440
256,50.867
257,50.700
258,50.293
259,49.480
260,49.040
261,49.927
262,50.467
263,49.780
264,48.993
265,49.153
266,48.860
267,49.000
268,49.280
269,49.180
270,48.107
271,47.113
272,47.840
273,47.720
274,47.853
275,47.727
276,47.333
277,48.007
278,47.807
279,46.187
280,46.760
281,46.600
282,46.080
283,46.033
284,46.460
