Distance_(pixels),Gray_Value
0,7.447
1,7.260
2,7.700
3,7.700
4,7.720
5,7.560
6,7.347
7,7.487
8,7.893
9,8.300
10,8.220
11,7.400
12,6.940
13,7.140
14,7.353
15,7.387
16,8.173
17,7.693
18,7.567
19,7.887
20,8.020
21,8.040
22,8.240
23,8.053
24,9.107
25,8.933
26,8.520
27,8.447
28,9.033
29,8.793
30,8.247
31,8.107
32,8.627
33,9.167
34,9.647
35,9.180
36,9.080
37,9.980
38,10.260
39,9.153
40,10.460
41,10.047
42,10.280
43,10.487
44,10.307
45,10.240
46,10.173
47,9.767
48,10.167
49,10.447
50,10.340
51,9.900
52,9.360
53,9.380
54,9.713
55,9.933
56,10.773
57,10.600
58,10.853
59,10.800
60,10.153
61,9.733
62,9.793
63,10.047
64,10.607
65,10.607
66,10.840
67,11.053
68,11.260
69,10.940
70,10.467
71,10.060
72,9.340
73,9.287
74,10.333
75,11.053
76,10.720
77,10.707
78,10.733
79,10.100
80,10.447
81,10.233
82,9.780
83,9.740
84,10.347
85,10.773
86,10.607
87,10.440
88,10.293
89,10.707
90,10.753
91,10.773
92,11.093
93,11.113
94,10.913
95,11.173
96,11.533
97,11.033
98,11.207
99,11.447
100,11.233
101,11.413
102,11.453
103,10.967
104,11.573
105,11.193
106,11.120
107,11.813
108,11.967
109,11.427
110,11.627
111,11.600
112,11.553
113,11.833
114,11.640
115,11.487
116,11.987
117,12.093
118,11.780
119,11.673
120,11.600
121,11.653
122,12.800
123,12.600
124,11.920
125,12.133
126,11.840
127,11.940
128,12.880
129,12.133
130,12.813
131,13.407
132,12.667
133,12.353
134,12.833
135,12.840
136,13.707
137,12.613
138,12.253
139,12.673
140,12.320
141,11.747
142,12.007
143,12.413
144,12.973
145,13.153
146,13.007
147,12.633
148,12.093
149,11.853
150,11.987
151,12.133
152,12.887
153,12.807
154,13.013
155,12.967
156,12.307
157,12.287
158,12.567
159,12.647
160,12.400
161,12.720
162,13.953
163,13.907
164,12.140
165,11.607
166,12.407
167,12.267
168,12.880
169,13.647
170,14.427
171,14.067
172,12.707
173,12.473
174,12.647
175,12.040
176,12.807
177,13.480
178,14.420
179,13.740
180,12.160
181,12.460
182,13.267
183,12.920
184,13.007
185,13.227
186,13.467
187,13.127
188,12.493
189,12.960
190,13.647
191,13.780
192,14.367
193,13.547
194,13.387
195,13.627
196,13.680
197,13.620
198,13.087
199,12.520
200,12.493
201,13.647
202,14.053
203,14.013
204,13.567
205,13.627
206,14.427
207,13.700
208,13.593
209,12.740
210,13.400
211,14.280
212,14.020
213,14.240
214,14.040
215,12.667
216,13.180
217,12.920
218,13.300
219,13.920
220,14.167
221,13.880
222,14.307
223,15.267
224,14.187
225,13.987
226,13.500
227,13.087
228,13.187
229,13.667
230,14.447
231,14.840
232,15.080
233,14.953
234,14.333
235,13.793
236,13.787
237,14.167
238,14.167
239,13.813
240,14.000
241,14.573
242,14.847
243,14.893
244,14.567
245,14.260
246,13.747
247,13.707
248,14.407
249,13.933
250,13.667
251,13.660
252,13.847
253,14.027
254,13.847
255,13.887
256,14.473
257,15.060
258,15.573
259,14.933
260,13.793
261,13.933
262,14.007
263,13.140
264,14.160
265,14.227
266,14.180
267,13.853
268,13.807
269,13.993
270,13.693
271,13.040
272,13.940
273,14.480
274,14.660
275,13.760
276,13.047
277,14.007
278,14.547
279,13.587
280,13.913
281,13.940
282,13.947
283,13.667
284,12.893
285,12.973
286,13.387
287,13.293
288,13.660
289,13.413
290,14.500
291,14.487
292,13.147
293,13.247
294,14.160
295,13.767
296,13.513
297,13.187
298,13.880
299,14.227
300,13.840
301,13.653
302,13.287
303,12.380
304,13.087
305,14.333
306,13.760
307,13.593
308,14.053
309,13.853
310,13.787
311,13.440
312,13.967
313,14.247
314,13.820
315,13.887
