Distance_(pixels),Gray_Value
0,28.873
1,29.507
2,29.623
3,29.347
4,29.683
5,30.290
6,29.987
7,28.857
8,28.923
9,28.827
10,29.500
11,30.150
12,30.037
13,29.933
14,29.360
15,28.443
16,29.343
17,28.940
18,29.183
19,29.873
20,29.793
21,29.853
22,29.923
23,29.617
24,29.247
25,29.553
26,29.823
27,29.977
28,29.700
29,29.423
30,29.463
31,29.967
32,30.320
33,31.077
34,30.513
35,29.153
36,28.590
37,29.490
38,29.967
39,29.677
40,29.293
41,29.590
42,29.763
43,29.603
44,29.680
45,30.503
46,30.490
47,29.557
48,28.577
49,28.923
50,29.443
51,29.230
52,28.867
53,30.197
54,30.540
55,29.313
56,28.400
57,28.357
58,28.443
59,28.477
60,28.473
61,28.607
62,28.457
63,28.397
64,28.513
65,28.737
66,28.153
67,27.463
68,27.533
69,27.943
70,27.603
71,27.223
72,27.813
73,27.483
74,27.043
75,26.983
76,26.397
77,26.247
78,25.847
79,25.690
80,26.413
81,26.527
82,26.677
83,26.857
84,27.387
85,28.390
86,27.967
87,26.337
88,25.783
89,25.953
90,26.520
91,26.960
92,27.160
93,27.763
94,27.313
95,26.003
96,25.187
97,25.743
98,26.230
99,26.057
100,26.110
101,27.213
102,27.713
103,27.143
104,25.740
105,25.823
106,25.660
107,25.737
108,26.177
109,26.637
110,26.297
111,25.873
112,25.897
113,25.947
114,25.990
115,25.890
116,25.857
117,25.723
118,25.417
119,24.900
120,25.470
121,24.840
122,24.743
123,25.190
124,25.683
125,25.960
126,25.923
127,25.150
128,24.803
129,25.213
130,25.483
131,25.303
132,25.260
133,25.310
134,25.373
135,25.150
136,25.110
137,25.540
138,25.787
139,25.427
140,25.423
141,25.873
142,25.707
143,24.983
144,24.963
145,25.593
146,26.007
147,26.143
148,26.390
149,25.997
150,25.280
151,25.547
152,26.290
153,26.560
154,27.293
155,26.680
156,25.600
157,25.917
158,25.980
159,24.700
160,24.427
161,24.797
162,25.377
163,25.677
164,25.480
165,25.310
166,25.273
167,25.153
168,25.267
169,25.377
170,25.293
171,24.907
172,24.507
173,24.347
174,23.897
175,23.560
176,24.530
177,25.027
178,24.917
179,24.607
180,24.167
181,24.047
182,23.597
183,23.397
184,23.193
185,23.093
186,23.187
187,23.467
188,23.143
189,22.543
190,22.337
191,22.750
192,23.610
193,23.857
194,23.300
195,22.477
196,22.240
197,22.357
198,22.510
199,22.220
200,22.397
201,21.900
202,21.770
203,22.577
204,22.877
205,22.290
206,21.267
207,20.600
208,20.790
209,20.790
210,21.257
211,21.760
212,21.607
213,21.360
214,21.143
215,20.453
216,20.697
217,20.547
218,20.027
219,19.443
220,18.893
221,18.950
222,19.530
223,20.000
224,19.893
225,19.400
226,19.433
227,19.400
228,19.500
229,19.820
230,19.547
231,18.427
232,18.383
233,18.793
234,18.897
235,18.730
236,18.187
237,17.810
238,17.630
239,17.820
240,18.003
241,17.887
242,17.930
243,17.917
244,17.950
245,17.863
246,17.767
247,17.550
248,18.007
249,17.383
250,17.400
251,17.087
252,16.537
253,17.060
254,17.143
255,16.133
256,15.967
257,16.010
258,16.150
259,16.560
260,16.570
261,16.423
262,15.973
263,15.643
264,15.320
265,15.170
266,15.113
267,15.363
268,15.617
269,15.473
270,14.873
271,14.513
272,14.743
