Distance_(pixels),Gray_Value
0,29.450
1,29.310
2,29.463
3,29.300
4,28.943
5,29.050
6,28.777
7,28.047
8,28.793
9,28.720
10,29.083
11,29.083
12,28.817
13,29.017
14,29.143
15,28.837
16,27.940
17,27.620
18,27.877
19,27.590
20,27.160
21,28.220
22,28.900
23,28.067
24,27.313
25,26.863
26,26.530
27,26.810
28,27.573
29,27.940
30,27.593
31,26.890
32,26.630
33,26.727
34,26.227
35,25.993
36,26.817
37,27.737
38,27.600
39,26.830
40,26.110
41,26.650
42,26.437
43,25.643
44,25.127
45,25.540
46,25.397
47,25.147
48,24.963
49,25.153
50,25.443
51,24.953
52,24.380
53,24.517
54,25.407
55,25.900
56,25.427
57,25.753
58,25.137
59,23.860
60,22.513
61,22.820
62,22.980
63,22.800
64,23.430
65,24.120
66,24.223
67,23.640
68,23.020
69,22.723
70,22.253
71,21.330
72,22.417
73,22.607
74,22.107
75,22.027
76,22.863
77,23.703
78,23.117
79,22.490
80,22.303
81,22.347
82,22.200
83,22.147
84,22.203
85,22.290
86,21.940
87,21.880
88,22.450
89,22.477
90,22.337
91,22.063
92,21.637
93,21.770
94,21.783
95,22.057
96,22.237
97,21.527
98,21.443
99,21.943
100,22.570
101,22.460
102,22.230
103,22.150
104,22.183
105,22.227
106,22.247
107,22.153
108,21.753
109,21.417
110,21.290
111,21.363
112,22.120
113,21.727
114,22.323
115,22.350
116,21.360
117,21.030
118,21.037
119,20.487
120,20.590
121,20.430
122,20.680
123,20.920
124,20.773
125,20.623
126,20.577
127,20.720
128,20.497
129,19.753
130,19.127
131,19.057
132,19.630
133,20.010
134,19.883
135,19.443
136,20.017
137,19.457
138,19.457
139,19.430
140,19.200
141,19.267
142,18.933
143,18.417
144,18.667
145,19.650
146,20.677
147,20.273
148,18.830
149,19.137
150,19.287
151,18.693
152,17.633
153,17.353
154,17.750
155,18.263
156,18.550
157,18.720
158,18.527
159,17.787
160,18.373
161,19.033
162,19.483
163,19.273
164,19.130
165,18.927
166,19.190
167,19.103
168,18.410
169,18.520
170,18.203
171,18.430
172,18.190
173,18.343
174,17.970
175,17.817
176,17.293
177,16.740
178,16.917
179,17.340
180,17.353
181,17.503
182,17.957
183,17.717
184,17.817
185,18.420
186,18.190
187,17.837
188,17.793
189,17.373
190,16.820
191,16.457
192,16.893
193,15.940
194,16.363
195,16.953
196,16.923
197,16.963
198,17.053
199,16.343
200,16.240
201,16.350
202,16.297
203,15.937
204,15.927
205,16.093
206,16.040
207,15.783
208,15.837
209,15.593
210,15.090
211,15.027
212,16.037
213,17.397
214,17.477
215,16.610
216,16.497
217,16.120
218,15.937
219,15.777
220,15.727
221,15.743
222,15.467
223,15.113
224,15.553
225,15.493
226,15.730
227,16.693
228,17.033
229,16.637
230,15.853
231,15.493
232,16.377
233,16.020
234,16.830
235,17.867
236,17.963
237,17.720
238,16.710
239,15.220
240,14.603
241,15.157
242,16.447
243,17.023
244,16.753
245,16.263
246,16.433
247,16.577
248,17.500
249,17.613
250,17.347
251,16.923
252,16.663
253,16.727
254,16.573
255,16.223
256,15.897
257,15.903
258,15.613
259,15.357
260,15.377
261,15.850
262,15.827
263,15.527
264,15.490
265,15.400
266,15.757
267,16.147
268,15.860
269,16.113
270,16.247
271,15.917
272,15.830
273,15.377
274,15.520
275,15.330
276,14.927
277,15.837
278,16.583
279,15.973
280,16.083
281,15.583
282,14.980
283,14.477
284,13.630
285,13.163
286,13.673
287,14.750
288,16.113
289,15.743
290,15.367
291,15.170
292,14.680
293,14.320
294,14.703
295,15.433
296,15.960
297,15.620
298,15.387
299,15.340
300,15.450
301,15.177
302,14.647
303,14.343
304,14.693
305,15.153
306,15.920
307,15.947
308,15.340
309,15.057
310,14.857
311,14.217
312,14.407
313,14.750
314,15.057
315,14.977
316,14.780
317,15.230
318,15.820
319,15.370
320,16.157
321,15.967
322,15.560
323,15.113
324,14.727
325,14.547
326,14.367
327,14.380
328,15.233
329,15.903
330,16.330
331,16.053
332,15.517
333,15.553
334,15.530
335,15.803
336,16.110
337,15.567
338,14.907
339,14.153
340,13.657
341,13.733
342,14.450
343,15.383
344,16.377
345,16.317
346,16.297
347,15.983
348,15.450
349,15.863
350,16.297
351,16.207
352,16.710
353,16.220
354,16.127
355,16.560
356,16.717
357,16.393
358,16.447
359,16.920
360,17.783
361,17.783
362,16.623
363,15.717
364,14.580
365,13.827
366,13.850
367,15.037
368,17.033
369,16.677
370,16.037
371,15.747
372,15.837
373,16.590
374,16.997
375,17.000
376,16.473
377,16.060
378,15.747
379,16.050
380,16.553
381,16.603
382,15.880
383,15.203
384,15.523
385,16.503
386,17.047
387,16.333
388,15.203
389,14.763
390,15.083
391,15.223
392,16.447
393,16.857
394,16.787
395,16.297
396,16.583
397,16.797
398,16.137
399,14.927
400,14.233
401,14.017
402,14.227
403,15.390
404,16.557
405,17.123
406,16.783
407,16.137
408,15.970
409,16.523
410,16.730
411,16.493
412,15.687
413,15.153
414,15.043
415,15.200
416,15.437
417,16.043
418,15.873
419,15.137
420,14.673
421,15.083
422,15.273
423,15.167
424,14.653
425,14.260
426,14.027
427,14.630
428,15.350
429,15.480
430,15.207
431,15.023
432,14.887
433,15.170
434,15.580
435,15.677
436,15.110
437,15.147
438,15.287
439,14.950
440,15.370
441,15.753
442,15.890
443,15.960
444,15.260
445,14.803
446,15.130
447,15.670
448,16.253
449,16.093
450,15.660
451,14.980
452,14.103
453,14.020
454,14.580
455,15.083
456,15.770
457,14.920
458,14.533
459,15.060
460,15.800
461,16.077
462,15.937
463,15.710
464,15.387
465,15.640
466,15.973
467,15.787
468,15.743
469,16.563
470,17.163
471,16.660
472,16.247
473,16.097
474,15.707
475,16.073
476,17.210
477,18.273
478,17.687
479,16.623
480,16.093
481,15.600
482,15.633
483,16.297
484,16.853
485,16.670
486,16.377
487,16.297
488,16.590
489,17.143
490,16.710
491,15.747
492,15.647
493,16.840
494,17.333
495,16.987
496,16.297
497,16.900
498,16.827
499,16.503
500,15.870
501,15.393
502,15.430
503,15.900
504,16.400
505,16.373
506,16.340
507,16.627
508,16.870
509,16.950
510,16.290
511,16.063
512,16.510
513,17.450
514,17.527
515,16.857
516,16.450
517,16.523
518,16.253
519,16.203
520,16.723
521,17.840
522,18.200
523,17.573
524,16.720
525,16.593
526,16.870
527,17.303
528,17.780
529,16.777
530,16.273
531,16.800
532,17.330
533,17.697
534,16.923
535,15.843
536,16.093
537,15.940
538,15.950
539,16.617
540,17.483
541,18.067
542,17.513
543,16.843
544,16.730
545,16.827
546,16.963
547,17.433
548,18.087
549,18.347
550,17.543
551,16.743
552,16.357
553,15.230
554,15.273
555,16.360
556,17.137
557,17.707
558,17.553
559,16.857
560,16.577
561,16.837
562,17.030
563,16.930
564,17.530
565,18.210
566,17.917
567,17.067
568,16.447
569,16.807
570,16.993
571,16.787
572,16.453
573,16.590
574,16.703
575,16.410
576,16.557
577,17.203
578,17.133
579,16.233
580,15.603
581,15.800
582,16.110
583,16.207
584,16.803
585,16.730
586,16.160
587,16.087
588,16.003
589,15.417
590,14.867
591,15.513
592,16.387
593,15.977
594,16.507
595,16.730
596,15.910
597,16.043
598,16.850
599,16.810
600,16.937
601,17.507
602,17.687
603,16.360
604,15.097
605,15.717
606,16.130
607,15.473
608,15.813
609,16.147
610,16.143
611,16.080
612,16.783
613,17.627
614,17.787
615,17.277
616,16.743
617,16.177
618,15.923
619,16.883
