Distance_(pixels),Gray_Value
0,32.097
1,31.837
2,31.233
3,30.817
4,30.527
5,30.437
6,30.283
7,30.383
8,30.753
9,31.123
10,31.087
11,30.433
12,29.410
13,29.063
14,29.583
15,30.177
16,31.097
17,30.570
18,29.970
19,29.630
20,29.653
21,29.417
22,28.953
23,28.300
24,28.947
25,28.600
26,29.137
27,30.077
28,30.073
29,29.553
30,29.247
31,28.907
32,29.070
33,29.323
34,28.663
35,29.540
36,29.917
37,29.127
38,28.763
39,28.243
40,27.877
41,28.610
42,29.537
43,29.303
44,28.350
45,28.640
46,28.477
47,27.070
48,27.697
49,27.983
50,28.057
51,28.333
52,28.783
53,28.527
54,27.643
55,26.813
56,26.633
57,26.877
58,26.993
59,26.720
60,26.270
61,25.650
62,25.530
63,26.017
64,25.823
65,25.510
66,25.583
67,26.120
68,26.410
69,26.727
70,26.527
71,25.943
72,26.187
73,26.887
74,26.790
75,26.687
76,27.007
77,27.047
78,26.077
79,25.197
80,25.467
81,25.007
82,25.537
83,26.130
84,25.523
85,25.060
86,25.170
87,25.267
88,25.587
89,25.893
90,26.217
91,26.247
92,26.230
93,26.120
94,26.163
95,26.270
96,26.807
97,26.313
98,26.420
99,26.690
100,26.390
101,26.307
102,26.130
103,25.577
104,25.910
105,26.513
106,26.780
107,26.517
108,26.017
109,25.573
110,25.237
111,25.243
112,25.807
113,25.603
114,25.650
115,25.470
116,25.497
117,26.410
118,26.440
119,25.323
120,24.673
121,24.193
122,24.080
123,24.690
124,25.247
125,25.627
126,25.503
127,25.673
128,25.350
129,24.170
130,23.680
131,24.857
132,25.917
133,25.803
134,25.370
135,25.250
136,25.323
137,23.843
138,22.823
139,23.393
140,24.323
141,24.680
142,24.237
143,23.810
144,25.493
145,25.723
146,25.420
147,24.710
148,23.853
149,24.373
150,24.757
151,24.327
152,25.023
153,25.383
154,25.193
155,24.443
156,23.933
157,23.813
158,23.857
159,23.767
160,24.750
161,24.803
162,24.773
163,24.740
164,24.870
165,24.680
166,24.270
167,24.060
168,24.723
169,24.190
170,23.743
171,23.847
172,24.330
173,24.223
174,23.753
175,23.717
176,24.860
177,24.610
178,24.343
179,24.613
180,25.080
181,25.383
182,25.123
183,24.333
184,25.040
185,24.170
186,23.810
187,24.503
188,25.170
189,25.363
190,24.967
191,24.227
192,23.333
193,23.503
194,23.713
195,23.687
196,23.100
197,22.637
198,22.870
199,23.403
200,24.620
201,23.847
202,23.757
203,23.773
204,23.017
205,21.873
206,21.570
207,21.717
208,23.003
209,22.840
210,22.937
211,23.600
212,23.743
213,23.017
214,22.363
215,22.290
216,21.813
217,21.547
218,20.820
219,20.443
220,20.733
221,21.510
222,21.480
223,21.177
224,21.477
225,21.827
226,21.600
227,21.047
228,20.800
229,20.937
230,20.900
231,20.797
232,21.393
233,21.113
234,21.080
235,21.117
236,20.780
237,20.300
238,19.500
239,18.963
240,18.567
241,19.530
242,20.567
243,20.503
244,20.230
245,20.800
246,21.407
247,21.063
248,20.357
249,19.873
250,19.800
251,19.573
252,18.990
253,19.237
254,19.467
255,19.310
256,19.600
257,19.520
258,18.780
259,17.770
260,18.073
261,19.283
262,19.427
263,18.843
264,18.853
265,18.413
266,18.263
267,18.473
268,18.547
269,17.747
270,16.967
271,16.637
272,17.917
273,19.113
274,20.460
275,20.277
276,19.400
277,19.540
278,19.460
279,18.523
280,18.087
281,18.713
282,19.053
283,18.920
284,18.273
285,17.890
286,17.550
287,17.237
288,17.297
289,16.860
290,16.487
291,16.553
292,17.063
293,17.323
294,17.147
295,16.860
296,15.750
297,16.260
298,16.573
299,15.813
300,14.927
301,15.380
302,16.190
303,16.523
304,16.803
305,17.363
306,16.973
307,15.790
308,14.867
309,14.263
310,14.177
311,14.837
312,17.410
313,17.237
314,16.277
315,15.210
316,14.507
317,14.423
318,14.497
319,14.760
320,15.577
321,15.753
322,15.227
323,14.567
324,13.830
325,14.750
326,16.183
327,15.237
328,14.160
329,14.343
330,14.110
331,14.080
332,14.393
333,14.577
334,14.083
335,13.907
336,13.837
337,13.953
338,14.530
339,14.477
340,13.673
341,14.040
342,14.340
343,13.363
344,13.567
345,14.967
346,15.610
347,14.683
348,13.430
349,13.173
350,13.330
351,13.520
352,15.130
353,14.717
354,13.740
355,13.133
356,12.770
357,12.677
358,13.177
359,14.413
360,15.960
361,15.387
362,14.210
363,13.453
364,13.517
365,13.953
366,13.587
367,13.313
368,13.027
369,13.577
370,14.073
371,14.753
372,16.040
373,15.907
374,15.910
375,16.547
376,16.517
377,15.177
378,15.083
379,16.457
380,16.003
381,14.933
382,13.963
383,13.810
384,13.983
385,14.203
386,14.460
387,14.587
388,14.267
389,13.887
390,13.783
391,13.757
392,14.063
393,14.433
394,14.197
395,13.630
396,13.620
397,14.590
398,15.097
399,14.707
400,14.363
401,14.790
402,15.017
403,14.930
404,15.137
405,15.553
406,15.343
407,14.733
408,14.260
409,14.540
410,14.917
411,14.670
412,14.143
413,14.580
414,15.160
415,14.930
416,14.263
417,14.267
418,14.150
419,14.047
420,13.677
421,13.730
422,14.503
423,15.517
424,16.220
425,15.667
426,14.717
427,14.197
428,14.143
429,14.607
430,15.083
431,15.370
432,16.593
433,15.847
434,15.123
435,14.567
436,13.817
437,13.237
438,13.187
439,13.387
440,15.003
441,14.973
442,14.530
443,14.013
444,14.313
445,14.947
446,15.173
447,14.947
448,15.493
449,15.430
450,15.157
451,14.680
452,13.940
453,13.553
454,13.560
455,13.880
456,14.950
457,14.430
458,14.553
459,15.393
460,15.693
461,15.050
462,14.213
463,14.140
464,15.627
465,14.613
466,14.023
467,14.093
468,13.670
469,13.790
470,14.330
471,14.657
472,15.750
473,15.027
474,14.713
475,14.883
476,15.093
477,14.333
478,13.460
479,13.143
480,14.013
481,14.110
482,14.417
483,14.633
484,13.917
485,13.803
486,14.070
487,14.170
488,13.970
489,13.627
490,13.887
491,14.217
492,13.880
493,13.800
494,13.543
495,13.137
