Distance_(pixels),Gray_Value
0,27.073
1,27.040
2,26.920
3,26.610
4,26.350
5,26.223
6,26.067
7,25.933
8,27.137
9,27.320
10,26.667
11,25.813
12,25.347
13,25.827
14,25.887
15,25.880
16,25.507
17,25.093
18,24.633
19,24.340
20,24.597
21,25.127
22,25.293
23,24.917
24,24.920
25,24.517
26,24.860
27,25.540
28,25.247
29,25.163
30,24.747
31,24.133
32,23.613
33,24.320
34,24.633
35,24.577
36,24.910
37,25.300
38,24.853
39,23.993
40,23.903
41,23.653
42,24.193
43,23.990
44,23.400
45,23.967
46,24.753
47,24.233
48,22.517
49,23.393
50,23.673
51,23.453
52,23.303
53,23.803
54,23.927
55,23.540
56,23.553
57,24.093
58,23.673
59,22.633
60,22.213
61,23.087
62,23.657
63,23.543
64,23.267
65,22.690
66,21.970
67,21.700
68,21.783
69,21.733
70,21.870
71,22.510
72,23.580
73,22.840
74,22.640
75,22.503
76,22.390
77,22.580
78,22.727
79,22.067
80,21.857
81,21.897
82,21.747
83,21.610
84,21.187
85,21.040
86,20.900
87,20.857
88,20.813
89,20.320
90,20.357
91,21.563
92,22.303
93,21.983
94,21.243
95,20.793
96,21.590
97,21.183
98,20.877
99,20.903
100,21.060
101,21.383
102,21.817
103,21.933
104,22.167
105,22.130
106,22.660
107,22.580
108,21.990
109,22.757
110,23.133
111,22.283
112,21.340
113,21.403
114,21.757
115,21.453
116,20.500
117,20.777
118,21.217
119,20.590
120,21.887
121,22.050
122,21.843
123,21.520
124,20.967
125,20.933
126,21.203
127,21.613
128,21.927
129,23.510
130,23.093
131,21.233
132,20.207
133,19.873
134,19.403
135,19.593
136,21.463
137,21.590
138,21.660
139,21.613
140,20.930
141,20.963
142,20.790
143,20.197
144,19.727
145,20.093
146,20.270
147,20.007
148,19.967
149,20.190
150,20.503
151,20.427
152,20.473
153,20.800
154,20.460
155,19.793
156,19.393
157,19.647
158,19.497
159,19.127
160,19.490
161,19.460
162,19.507
163,20.253
164,20.520
165,20.483
166,20.077
167,19.340
168,19.573
169,19.077
170,18.783
171,18.917
172,18.987
173,19.010
174,18.530
175,18.180
176,18.990
177,19.167
178,18.883
179,19.067
180,19.447
181,19.140
182,18.493
183,18.597
184,18.533
185,17.970
186,18.437
187,18.697
188,18.003
189,18.123
190,18.437
191,17.723
192,18.553
193,18.760
194,18.563
195,18.273
196,18.777
197,19.310
198,18.803
199,17.980
200,17.610
201,17.130
202,17.160
203,17.470
204,17.653
205,17.357
206,17.217
207,16.843
208,16.760
209,17.523
210,17.763
211,17.687
212,17.957
213,18.730
214,18.500
215,17.887
216,17.717
217,17.707
218,17.637
219,17.543
220,16.857
221,16.200
222,15.810
223,16.567
224,16.277
225,17.050
226,17.950
227,17.640
228,16.777
229,17.273
230,17.437
231,16.160
232,16.743
233,17.123
234,17.217
235,17.483
236,17.863
237,18.213
238,17.627
239,16.453
240,15.917
241,16.593
242,16.753
243,16.763
244,16.277
245,15.783
246,15.323
247,14.863
248,16.260
249,16.783
250,16.913
251,16.793
252,16.553
253,16.173
254,15.427
255,15.483
256,15.920
257,15.517
258,15.583
259,16.073
260,15.947
261,15.980
262,15.923
263,15.450
264,15.057
265,14.923
266,15.273
267,15.400
268,14.863
269,15.303
270,15.837
271,15.870
272,14.897
273,14.527
274,14.070
275,13.720
276,13.847
277,14.093
278,14.493
279,14.703
280,15.120
281,15.097
282,15.133
283,14.990
284,15.073
285,15.137
286,14.433
287,13.800
288,13.743
289,14.167
290,14.523
291,14.523
292,14.770
293,15.327
294,14.937
295,13.420
296,13.557
297,13.917
298,14.353
299,14.933
300,14.610
301,14.053
302,13.490
303,13.457
304,13.207
305,13.110
306,13.127
307,13.133
308,13.603
309,13.987
310,14.200
311,13.850
312,14.763
313,15.287
314,15.320
315,14.827
316,13.820
317,13.697
318,14.170
319,14.877
320,16.113
321,14.393
322,13.343
323,13.523
324,13.553
325,13.243
326,13.237
327,13.753
328,15.010
329,15.053
330,14.983
331,14.537
332,13.900
333,13.833
334,13.620
335,13.460
336,13.357
337,14.200
338,14.403
339,13.650
340,13.423
341,14.230
342,14.710
343,14.977
344,14.877
345,14.550
346,14.237
347,14.423
348,14.310
349,13.820
350,13.300
351,13.087
352,14.900
353,14.823
354,14.927
355,13.857
356,12.567
357,12.090
358,12.397
359,12.330
360,13.597
361,14.067
362,14.090
363,14.327
364,14.200
365,13.797
366,13.497
367,13.973
368,14.320
369,13.877
370,12.850
371,12.527
372,13.120
373,12.817
374,12.677
375,13.130
376,13.677
377,13.700
378,13.573
379,13.577
380,13.630
381,13.763
382,13.773
383,13.717
384,13.420
385,13.310
386,12.973
387,12.970
388,13.320
389,13.430
390,13.250
391,13.700
392,15.090
393,14.233
394,13.343
395,13.027
396,13.143
397,14.373
398,14.443
399,13.533
400,13.160
401,13.060
402,13.050
403,13.213
404,13.707
405,13.783
406,12.930
407,12.293
408,12.903
409,12.520
410,12.503
411,12.577
412,12.413
413,12.487
414,12.597
415,12.583
416,12.780
417,13.190
418,13.887
419,14.123
420,13.573
421,13.363
422,12.580
423,11.527
424,10.877
425,12.333
426,13.147
427,12.933
428,12.550
429,12.417
430,12.150
431,11.533
432,11.867
433,12.057
434,12.190
435,12.000
436,12.490
437,13.457
438,13.440
439,12.723
440,12.243
441,11.250
442,11.477
443,12.487
444,12.780
445,13.190
446,13.397
447,13.160
448,12.420
449,12.830
450,12.567
451,11.927
452,11.517
453,11.890
454,12.210
455,12.403
456,12.663
457,12.320
458,12.133
459,12.450
460,12.373
461,12.353
462,12.457
463,12.947
464,14.227
465,14.517
466,14.590
467,14.470
468,13.763
469,13.290
470,13.447
471,13.993
472,14.357
473,14.133
474,13.813
475,13.910
476,13.570
477,13.140
478,12.650
479,12.703
480,14.007
481,14.413
482,14.167
483,13.937
484,14.660
485,15.587
486,15.637
487,15.387
488,15.463
489,15.323
490,15.257
491,15.620
492,15.573
493,15.123
494,14.217
495,14.153
496,14.447
497,13.960
498,13.533
499,14.023
500,14.687
501,15.347
502,15.053
503,14.600
504,14.747
505,15.057
506,15.067
507,14.833
508,15.367
509,15.827
510,15.717
511,15.123
512,14.163
513,14.393
514,14.287
515,14.667
516,15.350
517,15.567
518,14.480
519,13.783
520,15.487
521,15.980
522,15.870
523,15.680
524,15.490
525,14.663
526,13.570
527,13.557
528,14.133
529,14.520
530,14.733
531,14.930
532,15.273
533,15.460
534,14.947
535,14.113
536,13.937
537,14.027
538,14.250
539,14.010
540,13.150
541,13.007
542,12.973
543,13.333
544,14.387
545,14.760
546,15.303
547,15.360
548,14.523
549,14.023
550,13.297
551,12.207
552,11.880
553,12.770
554,12.603
555,12.060
556,12.633
557,13.290
558,13.640
559,14.097
560,15.453
561,15.147
562,14.070
563,13.227
564,13.217
565,13.950
566,14.470
567,14.503
568,15.290
569,14.593
570,14.330
571,15.020
572,15.247
573,14.433
574,14.180
575,14.807
576,15.737
577,16.160
578,16.577
579,15.953
580,15.140
581,16.107
582,16.877
583,16.367
584,16.130
585,16.580
586,16.720
587,16.197
588,15.637
589,15.473
590,15.540
591,15.493
592,16.293
593,16.613
594,17.153
595,16.843
596,16.163
597,16.433
598,16.770
599,16.547
600,17.000
601,17.630
602,17.817
603,17.253
604,16.833
605,17.227
606,17.123
607,16.587
608,15.733
609,15.743
610,15.760
611,15.850
612,16.467
613,17.593
614,17.650
615,16.360
616,16.603
617,16.313
618,16.173
619,16.787
620,17.830
621,17.823
622,16.397
623,15.377
624,14.977
625,14.797
626,14.480
627,14.527
628,15.697
629,16.317
630,16.487
631,16.623
632,16.633
633,15.887
634,15.417
635,15.530
636,15.590
637,15.793
638,15.903
639,15.933
640,16.877
641,15.773
642,15.520
643,15.987
644,16.560
645,16.807
646,16.877
647,16.310
648,15.683
649,14.727
650,14.440
651,15.097
652,15.233
653,15.607
654,15.580
655,15.180
656,14.383
657,14.407
658,14.800
659,15.147
660,15.463
661,16.620
662,17.370
663,16.683
664,16.463
665,16.280
666,16.463
667,16.497
668,15.457
669,14.673
670,14.533
671,14.513
672,14.277
673,14.710
674,15.293
675,14.713
676,13.843
677,14.847
678,15.460
679,14.233
680,14.680
681,15.590
682,15.543
683,14.513
684,14.083
685,14.480
686,14.403
687,14.030
688,14.050
689,13.947
690,13.663
691,13.740
692,14.210
693,14.390
694,14.257
695,14.073
696,14.760
697,14.893
698,14.750
699,15.063
700,15.843
701,16.030
702,15.260
703,15.447
704,14.577
705,13.960
706,13.270
707,13.407
708,13.830
709,14.487
710,15.103
711,15.497
712,15.130
713,15.633
714,15.643
715,15.007
716,14.303
717,14.800
718,15.267
719,14.983
720,15.303
721,15.657
722,15.253
723,14.517
724,14.460
725,15.137
726,15.560
727,15.417
728,15.803
729,15.647
730,15.820
731,16.630
732,16.457
733,15.127
734,14.503
735,15.347
736,16.653
737,16.077
738,16.017
739,15.773
740,14.680
741,13.963
742,14.290
743,15.080
744,16.613
745,16.490
746,15.717
747,14.917
748,14.743
749,15.273
750,15.593
751,15.503
752,15.133
753,15.440
754,15.797
755,16.437
756,16.987
757,16.840
758,16.023
759,15.210
760,15.617
761,14.663
762,14.517
763,14.957
764,15.083
765,16.157
766,16.397
767,15.513
768,14.633
769,15.030
770,15.813
771,16.113
772,14.883
773,13.590
774,13.280
775,13.917
776,16.020
777,15.513
778,14.717
779,14.970
780,16.190
781,16.597
782,16.020
783,15.357
784,16.100
785,15.280
786,15.090
787,15.160
788,14.643
789,14.607
790,15.453
791,15.937
792,15.317
793,15.467
794,15.907
795,16.813
796,17.270
797,17.177
798,16.100
799,14.937
800,13.987
801,13.127
802,13.070
803,14.280
804,15.357
805,15.510
806,15.743
807,16.220
808,16.610
809,16.567
810,17.513
811,18.247
812,18.243
813,18.583
814,17.933
815,15.987
816,15.973
817,15.870
818,15.543
819,15.803
820,16.033
821,16.280
822,16.397
823,16.493
824,15.933
825,15.750
826,16.333
827,16.770
828,16.227
829,16.357
830,16.200
831,15.267
832,14.553
833,14.553
834,14.527
835,14.577
836,14.743
837,15.343
838,15.543
839,15.160
840,16.373
841,15.733
842,15.190
843,15.267
844,15.650
845,15.940
846,15.850
847,15.980
848,15.793
849,16.433
850,17.040
851,17.093
852,16.610
853,17.007
854,16.877
855,15.947
856,16.443
857,17.493
858,17.490
859,17.913
860,17.090
861,15.557
862,15.490
863,15.327
864,17.723
865,18.443
866,17.553
867,16.053
868,15.400
869,16.083
870,16.957
871,17.390
872,17.793
873,17.580
874,16.797
875,15.970
876,15.757
877,16.090
878,16.647
879,17.297
880,18.023
881,17.860
882,18.470
883,18.930
884,18.130
885,17.757
886,18.023
887,17.763
888,19.063
889,18.867
890,18.873
891,18.973
892,18.283
893,17.977
894,17.783
895,17.890
896,19.407
897,18.657
898,18.090
899,18.010
900,18.357
901,18.583
902,18.357
903,17.933
904,18.487
905,17.717
906,17.020
907,17.587
908,18.930
909,19.733
910,19.767
911,19.453
912,18.780
913,18.127
914,17.843
915,18.233
916,18.820
917,19.097
918,18.450
919,17.907
920,17.583
921,18.050
922,18.490
923,18.747
924,18.353
925,18.200
926,17.663
927,17.147
928,18.477
929,19.457
930,19.553
931,19.590
932,18.503
933,17.377
934,17.977
935,18.547
936,18.940
937,19.057
938,18.517
939,18.353
940,18.557
941,18.340
942,17.500
943,17.437
944,18.787
945,18.603
946,17.623
947,16.943
948,17.123
949,17.793
950,17.903
951,17.603
952,16.697
953,18.187
954,19.337
955,18.850
956,17.923
957,17.723
958,17.807
959,17.507
960,17.793
961,18.563
962,18.430
963,17.983
964,17.997
965,18.473
966,17.867
967,16.813
968,16.743
969,17.170
970,17.413
971,17.860
972,18.517
973,18.383
974,17.187
975,16.617
976,17.317
977,16.743
978,17.247
979,17.893
980,17.833
981,17.850
982,17.903
983,17.243
984,16.287
985,16.713
986,17.280
987,17.730
988,17.443
989,17.180
990,16.757
991,16.687
992,16.110
993,17.067
994,18.027
995,18.100
996,18.030
997,18.027
998,18.163
999,17.757
1000,18.537
1001,18.740
1002,18.983
1003,19.290
1004,18.980
1005,18.610
1006,17.943
1007,17.823
1008,17.917
1009,17.597
1010,17.663
1011,18.120
1012,19.433
1013,20.683
1014,20.213
1015,18.527
1016,18.543
1017,18.260
1018,18.307
1019,18.680
1020,18.480
1021,18.343
1022,18.420
1023,18.897
1024,17.893
1025,17.557
1026,17.467
1027,17.923
1028,18.670
1029,18.703
1030,17.717
1031,16.343
1032,15.970
1033,16.853
1034,17.673
1035,17.533
1036,16.890
1037,17.403
1038,17.810
1039,17.170
1040,18.070
1041,17.867
1042,17.977
1043,17.540
1044,16.980
1045,17.450
1046,18.260
1047,18.207
1048,19.097
1049,19.857
1050,19.497
1051,17.877
1052,16.800
1053,17.480
1054,17.987
1055,18.007
1056,17.800
1057,18.100
1058,18.453
1059,17.377
1060,16.333
1061,17.557
1062,18.833
1063,18.087
1064,18.757
1065,18.333
1066,18.233
1067,18.270
1068,18.120
1069,17.890
1070,18.430
1071,19.280
1072,19.990
1073,19.840
1074,19.897
1075,19.393
1076,18.543
1077,19.933
1078,20.650
1079,19.203
1080,18.070
1081,17.760
1082,18.213
1083,19.137
1084,18.877
1085,18.640
1086,18.827
1087,19.340
1088,19.490
1089,18.450
1090,18.620
1091,19.177
1092,18.527
1093,18.190
1094,18.020
1095,17.480
1096,17.927
1097,17.957
1098,18.463
1099,18.943
1100,18.370
1101,18.227
1102,18.550
1103,18.860
1104,19.403
1105,19.870
1106,19.687
1107,19.080
1108,18.307
1109,17.817
1110,17.533
1111,17.573
1112,17.957
1113,18.377
1114,18.777
1115,18.693
1116,17.800
1117,17.257
1118,16.700
1119,16.820
1120,18.970
1121,19.193
1122,19.237
1123,19.490
1124,19.100
1125,18.550
1126,18.417
1127,18.893
1128,19.343
1129,18.747
1130,17.607
1131,17.477
1132,18.200
1133,18.913
1134,18.493
1135,18.353
1136,17.957
1137,17.773
1138,18.007
1139,18.210
1140,17.723
1141,18.580
1142,19.540
1143,19.497
1144,18.870
1145,19.900
1146,19.763
1147,18.147
1148,17.523
1149,18.430
1150,18.520
1151,17.753
1152,19.017
1153,20.047
1154,19.637
1155,18.640
1156,18.653
1157,18.617
1158,18.743
1159,19.233
1160,19.353
1161,19.550
1162,19.577
1163,19.057
1164,18.530
1165,18.790
1166,19.260
1167,19.447
1168,19.477
1169,19.583
1170,19.313
1171,18.883
1172,19.213
1173,19.990
1174,19.903
1175,19.253
1176,19.970
1177,18.950
1178,17.547
1179,17.597
1180,17.780
1181,17.350
1182,17.313
1183,18.600
1184,20.267
1185,18.847
1186,17.693
1187,18.077
1188,18.890
1189,18.570
1190,18.267
1191,18.257
1192,18.273
1193,17.510
1194,17.353
1195,17.477
1196,17.807
1197,19.010
1198,18.823
1199,17.140
1200,16.357
1201,16.440
1202,16.437
1203,17.427
1204,19.010
1205,19.377
1206,18.293
1207,17.230
1208,16.637
1209,16.363
1210,16.850
1211,17.667
1212,18.013
1213,18.347
1214,17.917
1215,17.067
1216,16.687
1217,16.923
1218,17.150
1219,16.983
1220,17.280
1221,18.507
1222,18.720
1223,17.923
1224,16.300
1225,16.617
1226,17.943
1227,18.293
1228,17.917
1229,18.500
1230,18.620
1231,17.373
1232,17.353
1233,18.147
1234,17.813
1235,17.853
1236,18.483
1237,18.557
1238,17.770
1239,17.513
1240,16.857
1241,16.097
1242,16.523
1243,16.900
1244,16.203
1245,15.910
1246,16.627
1247,17.557
1248,17.733
1249,18.213
1250,17.697
1251,17.153
1252,17.403
1253,18.447
1254,18.450
1255,17.687
1256,17.593
1257,17.250
1258,17.313
1259,17.137
1260,16.840
1261,17.373
1262,17.320
1263,16.117
1264,17.043
1265,17.910
1266,18.143
1267,17.237
1268,16.723
1269,17.237
1270,17.767
1271,17.680
1272,18.273
1273,18.147
1274,17.840
1275,17.453
1276,17.140
1277,17.020
1278,16.717
1279,16.657
1280,17.240
1281,17.997
1282,18.490
1283,18.333
1284,17.857
1285,16.823
1286,16.580
1287,17.167
1288,17.293
1289,16.437
1290,16.653
1291,17.517
1292,17.593
1293,17.367
1294,17.367
1295,17.167
1296,17.833
1297,17.473
1298,17.143
1299,17.607
1300,18.350
1301,18.597
1302,17.977
1303,17.370
1304,17.780
1305,16.863
1306,16.460
1307,16.363
1308,16.533
1309,16.753
1310,16.527
1311,15.837
1312,17.037
1313,18.317
1314,17.937
1315,16.817
1316,16.490
1317,16.847
1318,16.927
1319,16.970
1320,16.437
1321,15.287
1322,15.003
1323,16.170
1324,16.970
1325,17.197
1326,16.477
1327,15.597
1328,16.787
1329,17.550
1330,17.807
1331,17.260
1332,17.303
1333,18.370
1334,18.443
1335,17.040
1336,15.180
1337,15.517
1338,15.890
1339,16.180
1340,16.773
1341,17.647
1342,17.180
1343,15.870
1344,14.810
1345,15.237
1346,15.510
1347,15.487
1348,15.330
1349,15.340
1350,15.637
1351,15.967
1352,16.613
1353,16.423
1354,16.340
1355,16.703
1356,16.850
1357,16.717
1358,16.330
1359,15.827
1360,15.970
1361,16.197
1362,17.223
1363,17.870
1364,16.980
1365,16.813
1366,16.820
1367,16.360
1368,16.473
1369,16.170
1370,17.297
1371,18.370
1372,18.000
1373,17.310
1374,16.270
1375,14.763
1376,16.757
1377,17.353
1378,17.607
1379,17.497
1380,17.713
1381,18.390
1382,18.447
1383,18.220
1384,17.677
1385,16.697
1386,16.527
1387,17.380
1388,17.470
1389,17.403
1390,17.130
1391,16.797
1392,17.353
1393,17.660
1394,17.770
1395,17.267
1396,16.890
1397,17.267
1398,17.493
1399,16.740
1400,16.597
1401,16.867
1402,17.500
1403,17.720
1404,17.623
1405,18.177
1406,18.060
1407,17.347
1408,18.000
1409,18.210
1410,18.407
1411,17.987
1412,17.530
1413,18.553
1414,18.983
1415,17.963
1416,17.907
1417,17.493
1418,17.827
1419,18.713
1420,19.387
1421,18.527
1422,17.033
1423,16.600
1424,19.103
1425,18.547
1426,18.017
1427,18.480
1428,19.083
1429,19.437
1430,18.473
1431,17.193
1432,17.880
1433,17.583
1434,18.687
1435,18.983
1436,18.023
1437,18.433
1438,19.663
1439,19.293
1440,20.410
1441,20.927
1442,20.723
1443,19.930
1444,20.373
1445,21.867
1446,22.393
1447,21.370
1448,21.700
1449,20.607
1450,19.427
1451,20.400
1452,22.510
1453,22.667
1454,21.160
1455,20.943
1456,20.607
1457,21.230
1458,21.423
1459,21.707
1460,22.857
1461,22.783
1462,21.677
1463,20.893
1464,22.523
1465,21.457
1466,21.317
1467,22.253
1468,22.917
1469,22.463
1470,22.337
1471,23.103
1472,23.017
1473,23.557
1474,23.917
1475,23.800
1476,23.617
1477,23.710
1478,24.070
1479,24.413
1480,25.823
1481,25.080
1482,24.717
1483,24.217
1484,24.427
1485,24.603
1486,25.053
1487,25.113
1488,26.510
1489,26.600
1490,26.023
1491,26.340
1492,26.737
1493,26.247
1494,25.937
1495,27.200
1496,28.590
1497,29.297
1498,30.147
1499,30.477
1500,30.590
1501,30.597
1502,31.363
1503,32.563
1504,33.960
1505,34.317
1506,34.223
1507,34.500
1508,34.640
1509,34.490
1510,34.587
1511,36.653
1512,37.763
1513,38.690
1514,39.370
1515,39.800
1516,40.267
1517,41.063
1518,41.533
1519,41.577
1520,43.070
1521,44.517
1522,45.673
1523,45.823
1524,45.633
1525,47.167
1526,47.927
1527,48.240
1528,48.553
1529,49.420
1530,49.897
1531,50.823
1532,51.097
1533,51.123
1534,51.560
1535,52.550
1536,53.923
1537,54.040
1538,54.950
1539,55.670
1540,56.400
1541,57.033
1542,58.093
1543,58.963
1544,59.697
1545,61.370
1546,62.430
1547,63.660
1548,64.053
1549,64.950
1550,65.803
1551,66.983
1552,68.353
1553,69.477
1554,70.453
1555,71.560
1556,72.763
1557,75.057
1558,75.373
1559,75.563
1560,77.067
1561,78.487
1562,79.270
1563,80.390
1564,81.310
1565,82.727
1566,83.567
1567,85.113
1568,86.303
1569,86.747
1570,87.377
1571,88.940
1572,89.293
1573,90.323
1574,90.510
1575,91.443
1576,92.370
1577,93.010
1578,93.077
1579,93.957
1580,94.410
1581,94.640
1582,95.343
1583,95.920
1584,96.300
1585,97.750
1586,98.467
1587,98.567
1588,98.713
1589,100.107
1590,100.413
1591,100.583
1592,101.743
1593,101.737
1594,102.427
1595,102.640
1596,102.163
1597,102.217
1598,102.383
1599,102.410
1600,102.647
1601,102.573
1602,102.650
1603,103.103
1604,103.203
1605,103.107
1606,102.993
1607,102.830
1608,103.740
1609,103.583
1610,103.933
1611,103.700
1612,103.700
1613,104.650
1614,105.183
1615,104.170
1616,104.403
1617,105.240
1618,105.827
1619,105.283
1620,104.820
1621,105.500
1622,105.957
1623,105.640
1624,105.633
1625,105.660
1626,105.723
1627,105.823
1628,105.853
1629,106.007
1630,106.067
1631,105.840
1632,106.407
1633,106.153
1634,106.000
1635,106.020
1636,105.920
1637,106.267
1638,106.300
1639,105.740
1640,105.870
1641,106.380
1642,106.680
1643,106.163
1644,105.877
1645,106.327
1646,106.473
1647,105.663
1648,105.980
1649,105.993
1650,105.933
1651,106.147
1652,106.367
1653,106.193
1654,105.987
1655,106.193
1656,105.613
1657,105.933
1658,106.473
1659,106.087
1660,105.193
1661,105.953
1662,106.620
1663,105.880
1664,105.270
1665,105.307
1666,105.553
