Distance_(pixels),Gray_Value
0,29.133
1,29.027
2,28.633
3,28.297
4,28.190
5,28.593
6,28.647
7,28.053
8,28.920
9,28.567
10,28.317
11,28.900
12,29.537
13,29.170
14,28.150
15,27.670
16,27.987
17,27.027
18,26.940
19,27.700
20,28.280
21,28.160
22,27.823
23,27.460
24,27.087
25,26.670
26,26.157
27,26.653
28,26.983
29,25.953
30,25.003
31,25.490
32,26.220
33,26.080
34,26.417
35,26.760
36,27.233
37,27.740
38,26.837
39,25.087
40,23.463
41,23.693
42,23.987
43,24.107
44,24.130
45,24.560
46,24.290
47,24.127
48,24.453
49,24.277
50,24.597
51,24.653
52,23.600
53,23.480
54,23.690
55,22.980
56,24.223
57,24.213
58,23.943
59,23.723
60,23.867
61,24.100
62,23.713
63,23.490
64,22.973
65,22.517
66,22.673
67,23.253
68,23.563
69,23.800
70,23.350
71,22.540
72,22.507
73,23.107
74,23.620
75,23.590
76,23.350
77,23.113
78,22.490
79,21.973
80,23.253
81,22.370
82,22.000
83,22.347
84,22.527
85,22.937
86,23.317
87,23.513
88,22.587
89,22.143
90,21.673
91,21.450
92,20.713
93,20.660
94,20.623
95,20.570
96,21.290
97,21.473
98,21.460
99,20.837
100,20.883
101,21.973
102,21.903
103,20.300
104,21.087
105,21.447
106,21.410
107,21.117
108,20.950
109,21.090
110,21.023
111,20.700
112,21.747
113,20.933
114,20.590
115,20.920
116,21.537
117,21.787
118,21.177
119,20.830
120,19.867
121,20.557
122,20.490
123,19.913
124,19.683
125,20.363
126,20.507
127,19.883
128,20.193
129,19.100
130,19.210
131,20.193
132,20.027
133,20.120
134,20.183
135,19.610
136,18.673
137,19.047
138,19.267
139,19.467
140,19.370
141,19.600
142,19.410
143,19.350
144,19.730
145,19.303
146,19.117
147,19.337
148,19.217
149,18.993
150,18.987
151,19.297
152,19.127
153,18.647
154,18.693
155,18.963
156,19.057
157,19.450
158,19.163
159,19.013
160,18.803
161,19.150
162,19.503
163,19.830
164,19.807
165,19.417
166,18.707
167,18.270
168,19.023
169,18.837
170,18.703
171,18.997
172,19.170
173,19.190
174,18.773
175,18.567
176,18.717
177,18.030
178,16.723
179,17.650
180,18.357
181,18.723
182,18.263
183,17.540
184,17.317
185,17.227
186,17.977
187,19.277
188,19.840
189,20.050
190,18.803
191,17.640
192,18.413
193,17.570
194,17.273
195,18.203
196,18.730
197,18.390
198,17.570
199,17.203
200,17.140
201,16.877
202,16.650
203,17.033
204,17.517
205,17.983
206,17.787
207,17.880
208,17.223
209,17.957
210,18.303
211,18.133
212,17.933
213,17.880
214,17.343
215,16.680
216,17.127
217,17.633
218,17.893
219,17.527
220,16.697
221,16.843
222,16.973
223,16.433
224,16.617
225,16.687
226,16.773
227,16.430
228,16.047
229,16.407
230,16.717
231,16.190
232,16.397
233,15.930
234,15.263
235,15.190
236,15.630
237,16.097
238,15.907
239,15.810
240,16.107
241,15.837
242,16.030
243,16.147
244,15.773
245,16.270
246,16.217
247,15.103
248,14.837
249,14.583
250,14.410
251,14.720
252,14.613
253,14.257
254,13.697
255,13.927
256,14.637
257,14.703
258,14.140
259,13.747
260,14.203
261,15.020
262,15.463
263,15.547
264,15.537
265,15.657
266,15.263
267,14.933
268,14.773
269,15.253
270,15.207
271,14.607
272,14.890
273,14.617
274,14.320
275,13.770
276,12.943
277,13.007
278,13.957
279,14.493
280,15.893
281,16.180
282,15.640
283,14.643
284,13.820
285,13.850
286,14.063
287,14.380
288,14.720
289,14.530
290,14.167
291,13.907
292,13.860
293,13.997
294,14.637
295,14.933
296,16.177
297,16.357
298,15.240
