Distance_(pixels),Gray_Value
0,28.917
1,28.893
2,28.480
3,28.483
4,28.523
5,28.073
6,27.697
7,28.077
8,29.023
9,28.800
10,28.470
11,28.140
12,27.323
13,26.987
14,27.287
15,28.207
16,27.693
17,26.920
18,26.833
19,27.570
20,28.250
21,28.700
22,28.463
23,27.590
24,26.360
25,26.313
26,26.813
27,26.900
28,26.203
29,26.533
30,26.267
31,25.057
32,25.317
33,25.897
34,26.640
35,26.770
36,26.463
37,26.517
38,26.133
39,25.273
40,25.763
41,25.463
42,25.437
43,25.230
44,24.763
45,24.897
46,25.310
47,25.357
48,25.183
49,24.950
50,24.860
51,25.077
52,24.777
53,24.747
54,24.867
55,25.467
56,24.127
57,23.750
58,23.530
59,23.010
60,22.840
61,24.317
62,24.793
63,23.503
64,22.957
65,23.387
66,23.847
67,24.043
68,23.917
69,23.963
70,24.000
71,23.773
72,24.137
73,23.537
74,23.203
75,23.593
76,23.840
77,23.427
78,22.493
79,21.807
80,21.653
81,20.973
82,21.357
83,22.413
84,23.297
85,23.817
86,23.550
87,22.583
88,21.030
89,20.087
90,20.667
91,21.610
92,22.183
93,23.517
94,23.780
95,22.347
96,20.853
97,20.820
98,21.520
99,21.707
100,20.720
101,20.767
102,21.077
103,20.830
104,21.830
105,22.140
106,22.163
107,21.660
108,20.977
109,20.690
110,20.410
111,20.273
112,21.787
113,22.573
114,22.293
115,20.983
116,20.277
117,20.520
118,20.213
119,19.610
120,19.583
121,19.660
122,19.653
123,20.093
124,20.943
125,21.490
126,20.483
127,19.050
128,18.667
129,18.420
130,18.317
131,19.933
132,21.353
133,20.450
134,19.807
135,21.020
136,20.877
137,19.687
138,19.117
139,19.407
140,19.917
141,20.517
142,20.410
143,19.443
144,19.490
145,19.310
146,18.533
147,17.847
148,18.227
149,18.863
150,19.520
151,19.563
152,19.837
153,19.487
154,19.537
155,19.950
156,19.480
157,18.753
158,18.840
159,19.550
160,19.537
161,18.870
162,18.970
163,20.087
164,20.663
165,20.170
166,19.373
167,19.087
168,19.140
169,19.873
170,19.783
171,19.323
172,19.483
173,19.270
174,18.973
175,19.413
176,19.490
177,19.927
178,20.467
179,20.287
180,20.030
181,20.780
182,20.463
183,19.127
184,18.513
185,18.740
186,18.257
187,18.407
188,18.780
189,18.233
190,17.670
191,18.227
192,19.047
193,19.083
194,18.767
195,18.643
196,19.427
197,19.577
198,19.103
199,18.193
200,18.580
201,18.820
202,17.883
203,17.473
204,17.783
205,17.763
206,17.050
207,16.913
208,17.407
209,16.867
210,17.413
211,17.660
212,17.167
213,17.497
214,17.833
215,17.140
216,17.570
217,17.697
218,17.963
219,17.613
220,16.510
221,16.187
222,15.650
223,15.107
224,16.497
225,17.183
226,18.023
227,18.257
228,17.930
229,17.613
230,16.843
231,15.893
232,16.040
233,15.950
234,16.890
235,17.530
236,17.080
237,17.540
238,17.683
239,16.887
240,16.083
241,16.037
242,16.190
243,15.870
244,15.120
245,15.380
246,15.787
247,15.647
248,16.067
249,16.730
250,17.040
251,16.383
252,15.930
253,16.463
254,16.227
255,15.050
256,14.780
257,14.833
258,15.270
259,16.147
260,16.663
261,16.377
262,15.553
263,15.063
264,15.150
265,15.053
266,15.047
267,15.390
268,15.913
269,16.270
270,15.783
271,14.867
272,15.217
273,14.970
274,15.457
275,16.483
276,16.440
277,16.040
278,15.323
279,14.490
280,14.953
281,14.493
282,14.943
283,15.127
284,14.770
285,14.683
286,14.733
287,14.573
288,13.600
289,13.827
290,13.633
291,13.700
292,14.187
293,15.027
294,14.623
295,13.637
296,14.360
297,13.980
298,13.960
299,14.233
300,14.590
301,15.140
302,14.793
303,13.977
304,14.447
305,15.053
306,14.933
307,14.543
308,14.120
309,14.000
310,14.263
311,14.330
312,13.843
313,14.233
314,14.523
315,14.847
316,15.260
317,15.967
318,15.240
319,13.650
320,13.540
321,13.660
322,13.747
323,14.093
324,14.740
325,15.180
326,14.823
327,14.257
328,14.520
329,14.507
330,14.250
331,14.100
332,14.257
333,14.560
334,14.640
335,14.587
336,14.337
337,15.133
338,15.597
339,15.577
340,15.077
341,15.080
342,14.940
343,14.840
344,14.743
345,14.583
346,14.743
347,14.760
348,14.450
349,13.810
350,13.677
351,14.130
352,14.433
353,15.013
354,14.880
355,14.047
356,12.913
357,13.607
358,13.997
359,13.783
360,13.873
361,14.673
362,14.850
363,14.390
364,14.417
365,15.073
366,14.683
367,14.137
368,14.473
369,15.610
370,15.560
371,14.360
372,13.820
373,14.560
374,15.053
375,14.750
376,14.550
377,14.737
378,14.573
379,14.543
380,13.997
381,13.777
382,13.190
383,13.107
384,14.377
385,15.377
386,15.200
387,14.310
388,13.823
389,14.090
390,13.487
391,12.277
392,12.947
393,13.493
394,14.123
395,13.830
396,13.067
397,13.223
398,13.120
399,12.533
400,12.943
401,14.630
402,15.517
403,13.740
404,10.853
405,11.343
406,13.003
407,13.200
408,14.870
409,15.067
410,14.720
411,14.153
412,13.380
413,12.960
414,12.343
415,12.200
416,13.620
417,13.787
418,14.047
419,13.970
420,13.370
421,12.593
422,12.660
423,12.863
424,15.210
425,15.153
426,14.960
427,14.613
428,14.120
429,13.970
430,13.423
431,12.983
432,12.500
433,12.890
434,13.290
435,13.843
436,13.487
437,13.230
438,13.050
439,13.367
440,13.617
441,13.623
442,13.457
443,13.183
444,13.420
445,13.413
446,13.067
447,12.703
448,13.023
449,13.413
450,13.747
451,13.767
452,13.620
453,14.300
454,14.513
455,13.863
456,13.470
457,13.497
458,13.047
459,13.067
460,13.420
461,13.360
462,12.917
463,13.067
464,14.520
465,13.900
466,13.420
467,13.647
468,13.610
469,13.010
470,12.520
471,12.850
472,14.537
473,14.573
474,14.553
475,14.330
476,13.873
477,13.600
478,13.403
479,13.430
480,13.407
481,13.367
482,14.260
483,14.870
484,14.490
485,14.360
486,14.433
487,13.693
488,14.077
489,13.360
490,12.637
491,13.307
492,14.297
493,14.400
494,14.157
495,14.717
496,15.740
497,15.570
498,15.070
499,14.950
500,14.997
501,15.050
502,15.090
503,15.080
504,15.323
505,15.830
506,16.667
507,16.710
508,16.270
509,16.320
510,16.447
511,16.267
512,16.863
513,16.770
514,16.687
515,17.107
516,17.523
517,17.583
518,17.397
519,17.280
520,17.180
521,17.170
522,18.010
523,17.897
524,16.460
525,16.483
526,16.303
527,15.223
528,14.603
529,15.143
530,15.543
531,15.357
532,15.620
533,17.183
534,17.417
535,16.147
536,16.100
537,16.520
538,16.280
539,15.713
540,15.453
541,15.813
542,15.667
543,15.217
544,15.840
545,15.483
546,15.370
547,16.297
548,17.047
549,17.297
550,16.743
551,16.253
552,17.470
553,16.070
554,14.930
555,15.157
556,15.280
557,15.520
558,15.820
559,16.333
560,17.080
561,16.447
562,16.043
563,16.317
564,16.343
565,15.883
566,15.487
567,15.373
568,16.860
569,16.063
570,15.557
571,15.917
572,16.173
573,16.057
574,15.640
575,15.563
576,15.820
577,15.570
578,15.193
579,14.850
580,14.843
581,15.323
582,15.993
583,16.887
584,16.713
585,15.767
586,15.187
587,15.240
588,14.747
589,14.110
590,14.157
591,15.083
592,15.803
593,15.470
594,15.613
595,15.543
596,15.110
597,15.037
598,15.507
599,15.587
600,16.303
601,15.657
602,15.107
603,15.337
604,15.370
605,15.483
606,15.207
607,14.670
608,15.470
609,15.763
610,16.100
611,15.940
612,14.787
613,14.473
614,14.707
615,14.760
616,15.067
617,14.977
618,14.570
619,14.633
620,14.693
621,14.183
622,13.833
623,14.477
624,14.607
625,13.770
626,13.610
627,13.407
628,13.060
629,13.760
630,14.183
631,12.967
632,13.590
633,13.367
634,13.597
635,13.447
636,13.397
637,13.927
638,13.793
639,12.983
640,12.507
641,13.063
642,13.900
643,14.220
644,14.050
645,14.237
646,14.180
647,13.697
648,14.297
649,14.117
650,13.653
651,13.277
652,13.367
653,13.997
654,13.527
655,12.713
656,13.060
657,13.790
658,13.863
659,13.263
660,13.107
661,13.867
662,14.297
663,14.157
664,14.350
665,14.620
666,14.910
667,14.410
668,13.753
669,13.803
670,14.147
671,14.040
672,15.427
673,14.497
674,13.440
675,13.460
676,14.317
677,14.127
678,13.647
679,13.847
680,14.717
681,14.030
682,13.560
683,13.310
684,12.630
685,12.970
686,13.553
687,13.793
688,14.323
689,14.477
690,14.563
691,13.883
692,13.617
693,14.537
694,15.180
695,15.010
696,15.243
697,14.693
698,14.840
699,15.143
700,14.693
701,14.893
702,15.090
703,14.507
704,14.690
705,15.497
706,16.710
707,16.863
708,16.503
709,16.073
710,16.143
711,16.027
712,16.230
713,16.250
714,16.203
715,16.147
716,15.443
717,14.727
718,15.003
719,15.867
720,16.233
721,16.437
722,16.737
723,16.760
724,16.503
725,16.567
726,15.860
727,14.660
728,15.170
729,15.227
730,16.220
731,17.373
732,17.600
733,17.107
734,16.537
735,16.393
736,15.597
737,14.720
738,14.420
739,15.300
740,16.530
741,17.417
742,17.163
743,16.547
744,16.240
745,16.090
746,15.373
747,14.963
748,15.370
749,15.793
750,15.803
751,16.157
752,17.210
753,16.673
754,16.637
755,16.763
756,15.853
757,15.593
758,15.983
759,16.760
760,17.123
761,16.940
762,16.063
763,15.040
764,14.317
765,14.660
766,15.460
767,16.423
768,17.880
769,17.877
770,16.887
771,14.873
772,13.880
773,15.093
774,16.290
775,16.120
776,16.943
777,17.073
778,16.613
779,15.923
780,15.110
781,15.137
782,15.180
783,15.933
784,17.277
785,18.173
786,18.300
787,16.817
788,15.460
789,15.930
790,16.170
791,14.990
792,15.400
793,15.433
794,15.300
795,14.493
796,13.890
797,14.193
798,14.680
799,14.570
800,15.997
801,16.627
802,16.597
803,15.817
804,15.770
805,16.237
806,15.700
807,14.617
808,13.990
809,14.203
810,14.803
811,15.390
812,16.000
813,17.010
814,17.017
815,16.377
816,14.970
817,15.377
818,16.483
819,16.293
820,15.850
821,16.520
822,16.177
823,16.150
824,16.860
825,16.200
826,15.993
827,16.233
828,16.050
829,15.813
830,15.850
831,16.150
832,18.037
833,16.793
834,15.323
835,15.107
836,15.883
837,16.903
838,16.803
839,16.260
840,17.240
841,16.830
842,16.613
843,16.613
844,16.533
845,16.990
846,17.233
847,16.910
848,17.293
849,17.657
850,17.783
851,17.070
852,16.013
853,16.020
854,16.693
855,16.940
856,18.310
857,18.707
858,18.947
859,18.550
860,17.900
861,17.543
862,17.197
863,17.280
864,17.567
865,17.293
866,17.287
867,17.920
868,18.017
869,17.507
870,17.410
871,17.790
872,18.187
873,18.593
874,18.667
875,18.373
876,17.657
877,17.450
878,17.107
879,16.950
880,18.213
881,17.353
882,17.037
883,17.793
884,18.200
885,17.477
886,17.663
887,18.420
888,19.170
889,19.010
890,18.607
891,18.543
892,18.773
893,18.907
894,18.157
895,17.730
896,18.673
897,18.687
