Distance_(pixels),Gray_Value
0,36.703
1,36.873
2,36.670
3,36.440
4,36.117
5,36.307
6,36.603
7,36.693
8,36.320
9,36.760
10,36.573
11,36.383
12,36.313
13,36.173
14,36.013
15,36.483
16,36.687
17,36.657
18,36.543
19,36.223
20,35.853
21,35.863
22,36.057
23,36.417
24,37.000
25,36.450
26,35.480
27,34.770
28,34.827
29,35.617
30,36.017
31,36.153
32,35.277
33,35.213
34,35.117
35,35.050
36,35.410
37,36.030
38,35.867
39,35.290
40,34.830
41,34.720
42,34.930
43,34.430
44,33.783
45,34.923
46,35.693
47,35.093
48,34.220
49,34.387
50,34.443
51,34.113
52,33.473
53,33.623
54,34.143
55,34.130
56,34.897
57,34.563
58,34.083
59,33.353
60,32.720
61,33.227
62,33.990
63,34.020
64,34.390
65,33.950
66,33.287
67,33.447
68,33.447
69,32.787
70,32.700
71,33.550
72,34.397
73,34.147
74,33.430
75,32.350
76,31.857
77,32.653
78,32.630
79,32.290
80,32.570
81,32.730
82,33.040
83,32.753
84,31.870
85,31.670
86,32.053
87,31.810
88,32.217
89,32.567
90,32.037
91,32.070
92,31.900
93,31.430
94,31.620
95,32.090
96,31.503
97,30.843
98,30.327
99,30.407
100,30.487
101,30.370
102,30.147
103,29.850
104,30.017
105,30.700
106,30.413
107,29.803
108,29.767
109,29.953
110,29.767
111,29.637
112,29.910
113,29.993
114,29.463
115,28.663
116,28.153
117,28.673
118,29.407
119,29.807
120,29.000
121,28.173
122,27.990
123,28.447
124,28.933
125,28.873
126,28.883
127,29.060
128,30.520
129,29.840
130,29.207
131,28.523
132,28.113
133,28.533
134,29.030
135,29.110
136,29.450
137,29.370
138,29.013
139,28.617
140,28.850
141,29.290
142,28.900
143,28.387
144,28.453
145,29.503
146,29.903
147,29.140
148,28.453
149,28.687
150,28.890
151,28.830
152,29.057
153,29.703
154,29.583
155,28.963
156,28.597
157,28.517
158,28.137
159,27.800
160,29.120
161,29.237
162,29.463
163,29.030
164,28.333
165,28.363
166,28.253
167,27.527
168,27.267
169,27.183
170,26.827
171,26.823
172,27.577
173,28.317
174,27.847
175,27.127
176,26.563
177,26.123
178,26.437
179,27.407
180,27.390
181,27.300
182,27.623
183,27.533
184,26.767
185,27.037
186,26.997
187,26.723
188,25.950
189,25.477
190,25.503
191,25.803
192,26.640
193,26.853
194,26.533
195,25.800
196,25.320
197,25.263
198,25.417
199,25.510
200,25.587
201,25.587
202,25.867
203,25.680
204,25.383
205,25.343
206,25.557
207,25.373
208,25.660
209,26.413
210,26.593
211,26.003
212,25.340
213,25.173
214,24.880
215,24.590
216,25.150
217,25.157
218,25.310
219,25.500
220,25.693
221,25.457
222,24.890
223,24.010
224,23.723
225,23.773
226,24.697
227,24.677
228,24.347
229,24.987
230,25.487
231,24.817
232,24.213
233,24.583
234,24.610
235,23.960
236,23.223
237,23.230
238,23.450
239,23.567
240,24.407
241,24.283
242,23.557
243,23.110
244,23.333
245,22.913
246,21.993
247,21.570
248,21.113
249,22.417
250,23.227
251,22.813
252,22.103
253,22.367
254,22.310
255,22.177
256,22.810
257,21.850
258,21.457
259,22.533
260,23.263
261,22.553
262,22.060
263,22.397
264,22.617
265,21.553
266,20.630
267,21.203
268,22.217
269,23.017
270,22.723
271,21.977
272,20.577
273,20.433
274,20.650
275,20.883
276,21.253
277,21.553
278,21.063
279,19.897
280,18.873
281,18.683
282,18.877
283,19.417
284,19.650
285,19.710
286,19.053
287,18.790
288,18.100
289,18.123
290,18.193
291,17.927
292,17.430
293,17.800
294,18.380
295,18.410
296,19.030
297,18.140
298,17.320
299,17.150
300,17.270
301,17.460
302,17.500
303,17.820
304,18.137
305,18.060
306,18.140
307,17.390
308,16.760
309,17.330
310,17.683
311,17.227
312,18.167
313,18.593
314,18.937
315,18.337
316,17.440
317,17.193
318,17.317
319,17.063
320,17.417
321,17.257
322,17.773
323,18.003
324,17.043
325,16.470
326,16.717
327,17.063
328,17.420
329,17.143
330,16.637
331,16.517
332,16.710
333,17.090
334,17.090
335,16.940
336,16.357
337,16.053
338,15.770
339,15.757
340,15.973
341,16.587
342,16.863
343,16.180
344,16.330
345,16.420
346,16.093
347,15.300
348,14.933
349,15.853
350,15.830
351,14.917
352,14.403
353,14.880
354,15.173
355,14.743
356,14.050
357,14.327
358,14.670
359,14.257
360,15.607
361,15.790
362,15.447
363,14.990
364,14.700
365,14.630
366,14.260
367,13.927
368,14.340
369,14.813
370,15.787
371,16.233
372,15.233
373,14.683
374,14.430
375,14.393
376,15.280
377,15.120
378,14.933
379,14.910
380,14.573
381,14.193
382,14.173
383,14.417
384,14.497
385,14.947
386,14.283
387,13.443
388,13.347
389,13.437
390,12.953
391,12.813
392,13.513
393,13.643
394,13.257
395,12.780
396,13.147
397,14.000
398,14.483
399,14.477
400,13.393
401,13.180
402,12.990
403,12.297
404,11.557
405,12.363
406,13.603
407,14.023
408,14.720
409,15.730
410,15.543
411,13.643
412,12.517
413,13.163
414,14.070
415,14.303
416,13.833
417,13.610
418,13.530
419,13.413
420,13.417
421,13.887
422,13.923
423,12.980
424,13.940
425,14.240
426,14.280
427,14.203
428,13.810
429,13.757
430,13.830
431,13.817
432,14.330
433,13.860
434,13.623
435,13.823
436,13.883
437,14.313
438,14.320
439,13.917
440,14.263
441,14.373
442,14.550
443,14.623
444,13.953
445,13.143
446,13.027
447,13.400
448,15.193
449,15.550
450,16.283
451,15.633
452,14.343
453,14.830
454,15.293
455,14.370
456,14.733
457,14.997
458,15.000
459,15.260
460,16.087
461,16.850
462,16.067
463,14.983
464,15.987
465,15.890
466,16.163
467,16.377
468,15.590
469,14.883
470,15.100
471,15.477
472,17.480
473,17.227
474,16.033
475,14.660
476,14.160
477,14.973
478,16.123
479,16.430
480,16.527
481,16.820
482,16.420
483,15.303
484,15.130
485,16.027
486,16.530
487,16.383
488,16.717
489,16.960
490,17.437
491,17.927
492,18.060
493,17.747
494,17.187
495,16.583
496,16.020
497,16.353
498,16.963
499,17.360
500,17.240
501,17.060
502,16.707
503,16.117
504,16.613
505,17.457
506,17.483
507,16.723
508,16.137
509,16.127
510,16.257
511,16.270
512,16.403
513,15.790
514,15.020
515,15.000
516,15.607
517,16.257
518,16.377
519,16.387
520,16.853
521,17.080
522,16.810
523,16.020
524,15.137
525,15.207
526,15.267
527,14.980
528,16.207
529,15.807
530,16.790
531,17.707
532,17.760
533,17.480
534,17.317
535,16.877
536,17.813
537,18.117
538,18.680
539,18.693
