Distance_(pixels),Gray_Value
0,31.157
1,31.007
2,30.507
3,29.777
4,29.290
5,29.890
6,30.707
7,30.907
8,31.210
9,30.790
10,29.977
11,29.817
12,30.517
13,30.597
14,29.910
15,29.557
16,29.967
17,29.580
18,29.467
19,29.767
20,30.140
21,30.340
22,30.137
23,29.947
24,29.390
25,28.990
26,28.357
27,28.177
28,28.653
29,28.787
30,28.630
31,28.937
32,29.043
33,28.500
34,28.213
35,28.683
36,29.187
37,29.017
38,28.697
39,28.517
40,29.513
41,28.200
42,27.967
43,28.623
44,28.963
45,28.767
46,28.220
47,27.730
48,28.647
49,29.207
50,28.593
51,28.503
52,28.380
53,28.460
54,28.637
55,27.847
56,27.777
57,28.297
58,28.233
59,27.683
60,26.957
61,26.897
62,27.457
63,28.077
64,28.473
65,28.543
66,27.947
67,26.670
68,25.497
69,25.337
70,25.570
71,26.000
72,27.490
73,27.133
74,27.210
75,27.100
76,26.770
77,27.503
78,27.670
79,27.110
80,26.203
81,25.790
82,25.397
83,25.843
84,26.137
85,26.290
86,25.863
87,25.453
88,25.910
89,26.073
90,26.023
91,25.977
92,25.527
93,25.290
94,25.163
95,25.337
96,25.717
97,25.977
98,26.217
99,26.330
100,26.173
101,26.330
102,25.720
103,24.753
104,24.567
105,25.410
106,26.043
107,25.873
108,24.987
109,25.123
110,25.857
111,26.393
112,26.750
113,26.133
114,25.357
115,25.390
116,26.090
117,25.950
118,25.437
119,25.473
120,25.747
121,25.523
122,25.343
123,25.783
124,25.847
125,25.363
126,24.953
127,24.733
128,24.957
129,24.850
130,24.963
131,25.117
132,25.100
133,24.837
134,24.463
135,24.373
136,24.837
137,25.747
138,26.000
139,25.740
140,25.227
141,25.290
142,24.790
143,24.493
144,24.223
145,24.600
146,24.693
147,24.760
148,25.007
149,25.497
150,25.320
151,24.823
152,24.523
153,24.843
154,25.373
155,25.777
156,25.560
157,25.543
158,25.283
159,24.653
160,23.850
161,23.100
162,23.080
163,24.097
164,25.710
165,27.017
166,26.840
167,25.790
168,25.397
169,25.373
170,25.093
171,25.113
172,25.127
173,25.263
174,25.257
175,25.087
176,26.477
177,25.607
178,25.160
179,24.607
180,24.040
181,23.897
182,24.500
183,24.717
184,25.030
185,25.317
186,25.417
187,25.247
188,24.120
189,23.163
190,23.143
191,23.713
192,24.233
193,24.410
194,24.053
195,23.630
196,23.377
197,23.553
198,23.297
199,23.067
200,24.147
201,24.300
202,23.703
203,23.393
204,23.750
205,24.137
206,23.403
207,22.623
208,21.960
209,21.720
210,21.493
211,21.723
212,22.097
213,22.437
214,22.000
215,21.257
216,22.203
217,21.570
218,20.820
219,20.750
220,21.117
221,21.340
222,21.133
223,21.060
224,22.067
225,22.310
226,21.703
227,20.557
228,20.260
229,20.013
230,19.857
231,20.173
232,21.917
233,21.833
234,21.800
235,21.873
236,21.610
237,21.290
238,20.710
239,20.187
240,21.163
241,21.713
242,21.253
243,20.547
244,20.583
245,20.713
246,20.550
247,20.470
248,19.877
249,19.440
250,18.617
251,18.993
252,20.233
253,20.200
254,19.177
255,18.897
256,20.383
257,19.587
258,19.177
259,19.207
260,18.950
261,19.583
262,19.863
263,19.160
264,19.317
265,19.880
266,19.753
267,19.383
268,18.513
269,18.220
270,18.443
271,18.903
272,19.630
273,19.363
274,19.530
275,20.090
276,19.847
277,19.467
278,19.093
279,19.030
280,19.187
281,18.767
282,18.100
283,18.400
284,19.087
285,19.733
286,19.553
287,19.087
288,18.307
289,17.940
290,17.773
291,17.860
292,17.773
293,17.580
294,17.787
295,18.297
296,20.170
297,19.610
298,18.930
299,18.333
300,17.740
301,17.320
302,17.253
303,17.480
304,18.143
305,18.087
306,17.927
307,16.710
308,14.923
309,14.933
310,16.027
311,16.373
312,17.263
313,17.017
314,16.590
315,16.643
316,16.840
317,16.880
318,16.680
319,16.323
320,16.127
321,15.693
322,15.293
323,15.147
324,15.363
325,15.683
326,16.053
327,16.320
328,17.433
329,17.747
330,17.600
331,16.687
332,16.190
333,16.003
334,15.510
335,14.927
336,14.750
337,15.023
338,15.897
339,16.687
340,17.173
341,17.213
342,16.747
343,15.763
344,15.933
345,16.343
346,17.143
347,17.207
348,16.580
349,16.370
350,15.910
351,15.273
352,15.613
353,15.757
354,15.780
355,16.280
356,16.640
357,16.570
358,15.733
359,15.283
360,14.710
361,15.140
362,15.327
363,15.267
364,15.340
365,15.450
366,15.583
367,15.540
368,16.087
369,16.293
370,16.180
371,15.940
372,15.877
373,16.030
374,15.773
375,15.420
376,15.557
377,15.960
378,15.880
379,15.373
380,14.807
381,14.817
382,14.623
383,14.567
384,15.430
385,16.197
386,16.763
387,16.710
388,16.490
389,16.117
390,15.630
391,14.920
392,14.950
393,13.850
394,13.543
395,14.513
396,15.497
397,16.387
398,15.977
399,14.813
400,13.987
401,14.167
402,14.337
403,14.377
404,14.177
405,13.857
406,13.457
407,13.317
408,13.623
409,13.097
410,12.237
411,12.237
412,12.687
413,13.540
414,13.687
415,13.657
416,14.030
417,13.573
418,13.637
419,13.810
420,13.593
421,12.807
422,12.650
423,13.040
424,12.937
425,12.567
426,12.923
427,13.843
428,13.753
429,13.200
430,12.367
431,11.937
432,13.633
433,13.590
434,13.740
435,14.853
436,15.917
437,15.500
438,14.453
439,13.863
440,12.470
441,13.363
442,14.127
443,13.647
444,12.563
445,12.077
446,12.377
447,13.330
448,14.923
449,14.827
450,14.240
451,13.680
452,13.557
453,13.823
454,13.643
455,13.353
456,14.427
457,14.303
458,13.763
459,13.013
460,12.893
461,13.187
462,13.697
463,14.357
464,16.343
465,16.630
466,16.180
467,15.600
468,15.073
469,14.870
470,14.270
471,13.530
472,12.960
473,13.990
474,15.423
475,15.437
476,14.463
477,14.557
478,14.733
479,14.500
480,14.317
481,14.670
482,14.467
483,14.240
484,14.430
485,14.567
486,14.427
487,13.833
488,13.810
489,13.837
490,13.957
491,14.117
492,14.210
493,14.113
494,14.390
495,14.857
496,15.633
497,14.437
498,14.123
499,14.707
500,14.550
501,14.427
502,14.100
503,13.920
504,14.667
505,14.190
506,13.820
507,14.170
508,14.940
509,14.863
510,14.357
511,13.937
512,13.393
513,14.257
514,14.410
515,14.810
516,15.413
517,15.107
518,14.800
519,14.720
520,15.030
521,15.203
522,15.517
523,15.440
524,14.883
525,14.333
526,14.113
527,14.537
528,14.760
529,15.337
530,15.710
531,15.537
532,14.670
533,14.077
534,13.877
535,14.330
536,14.403
537,14.477
538,14.293
539,14.150
540,14.137
541,14.540
542,14.730
543,15.093
544,15.617
545,15.557
546,16.197
547,16.013
548,14.917
549,14.557
550,15.543
551,16.260
552,16.800
553,16.463
554,15.860
555,15.637
556,15.443
557,15.657
558,15.680
559,15.903
560,15.703
561,16.773
562,17.190
563,16.723
564,15.927
565,15.750
566,16.433
567,17.270
568,18.377
569,18.263
570,17.363
571,16.960
572,17.403
573,17.570
574,17.140
575,17.160
576,17.927
577,17.390
578,17.437
579,18.007
580,18.280
581,18.153
582,18.097
583,18.007
584,17.210
585,16.787
586,16.830
587,17.507
588,17.897
589,18.343
590,18.347
591,17.837
592,16.290
593,15.640
594,15.570
595,16.247
596,16.383
597,16.460
598,16.590
599,16.377
600,16.793
601,17.657
602,18.547
603,17.563
604,16.103
605,16.783
606,17.343
607,16.483
608,16.930
609,17.387
610,17.517
611,17.017
612,16.687
613,16.770
614,16.967
615,17.087
616,17.213
617,17.673
618,17.690
619,17.017
620,17.147
621,17.977
622,17.700
623,16.847
624,16.827
625,17.117
626,17.010
627,16.480
628,16.153
629,16.170
630,16.190
631,15.977
632,16.700
633,17.240
634,18.453
635,18.503
636,17.097
637,16.827
638,16.877
639,16.250
640,17.507
641,17.873
642,18.297
643,17.910
644,17.177
645,17.280
646,17.617
647,17.033
648,17.357
649,17.757
650,18.390
651,18.263
652,18.217
653,18.590
654,18.550
655,17.827
656,17.667
657,16.957
658,16.750
659,17.053
660,17.647
661,18.530
662,18.673
663,18.017
664,17.583
665,17.930
666,17.453
667,17.233
668,17.507
669,17.220
670,16.847
671,17.390
672,18.357
673,18.583
674,18.580
675,18.650
676,18.267
677,18.050
678,18.340
679,18.710
680,19.400
681,18.897
682,18.593
683,18.797
684,18.547
685,17.813
686,16.673
687,16.117
688,16.657
689,17.573
690,18.070
691,18.430
692,18.093
693,17.207
694,16.053
695,16.130
696,16.777
697,15.440
698,14.753
699,15.960
700,17.070
701,17.210
702,16.760
703,16.663
704,16.640
705,17.030
706,17.423
707,17.573
708,17.700
709,18.380
710,18.370
711,17.683
712,16.440
713,17.003
714,17.497
715,17.483
716,17.470
717,18.173
718,17.453
719,15.927
720,16.117
721,16.660
722,16.570
723,16.233
724,16.527
725,17.357
726,17.563
727,17.070
728,17.020
729,17.260
730,17.307
731,17.183
732,16.533
733,16.493
734,16.857
735,17.683
736,17.150
737,17.193
738,16.600
739,16.560
740,17.393
741,17.880
742,17.427
743,17.270
744,17.987
745,18.140
746,18.540
747,18.223
748,17.253
749,17.207
750,17.640
751,17.700
752,18.157
753,17.950
754,18.400
755,18.530
756,17.790
757,17.930
758,18.123
759,17.357
760,16.013
761,16.567
762,17.710
763,17.410
764,16.180
765,16.610
766,18.067
767,18.230
768,17.593
769,16.933
770,17.217
771,17.993
772,17.983
773,18.587
774,18.680
775,17.770
776,17.973
777,17.630
778,17.470
779,17.813
780,17.847
781,17.727
782,17.453
783,17.317
784,17.740
785,17.707
786,17.857
787,16.957
788,15.877
789,16.793
790,18.317
791,18.493
792,18.363
793,18.430
794,18.263
795,18.420
796,18.533
797,17.783
798,17.160
799,17.613
800,17.233
801,17.547
802,17.763
803,17.917
804,17.603
805,17.893
806,18.140
807,17.763
808,18.077
809,17.057
810,17.090
811,17.670
812,17.803
813,18.717
814,19.027
815,18.080
816,17.430
817,17.957
818,18.837
819,18.920
820,18.613
821,18.863
822,19.187
823,18.577
824,18.397
825,17.323
826,17.030
827,18.090
828,19.010
829,18.903
830,18.500
831,18.393
832,18.840
833,18.757
834,18.697
835,18.283
836,17.990
837,18.987
838,19.837
839,19.657
840,18.120
841,17.367
842,17.970
843,19.073
844,19.180
845,19.187
846,18.457
847,16.983
848,17.427
849,18.780
850,19.653
851,18.987
852,18.453
853,19.407
854,19.810
855,19.127
856,18.023
857,17.593
858,18.367
859,19.937
860,20.453
861,20.070
862,18.890
863,17.693
